scientific_name,common_names,category,conservation_status
Cemophora coccinea copei,Northern Scarlet Snake,Reptile,
Centaurea biebersteinii,Spotted Knapweed,Vascular Plant,
Centaurea cyanus,"Batchelor's Button, Corn-Flower, Bachelor's Button, Cornflower, Garden Cornflower",Vascular Plant,
Centaurea diffusa,"Diffuse Knapweed, White Knapweed",Vascular Plant,
Centaurea maculosa,Spotted Knapweed,Vascular Plant,
Centaurea melitensis,"Malta Starthistle, Maltese Star Thistle, Maltese Star-Thistle, Napa Thistle, Spotted Knapweed, Tocalote",Vascular Plant,
Centaurea nigra,Lesser Knapweed,Vascular Plant,
Centaurea pratensis,Meadow Knapweed,Vascular Plant,
Centaurea repens,"Hardheads, Russian Knapweed",Vascular Plant,
Centaurea solstitialis,"Yellow Star Thistle, Yellow Starthistle, Yellow Star-Thistle",Vascular Plant,
Centaurium venustum,Charming Centaury,Vascular Plant,
Centrocercus urophasianus,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse, Greater Sage-Grouse",Bird,
Centrosema virginianum,"Butterfly-Pea, Coastal Butterfly-Pea",Vascular Plant,
Cephalanthera austiniae,Phantom Orchid,Vascular Plant,
Cephalanthus occidentalis,"Buttonbush, Common Buttonbush",Vascular Plant,
Cephalozia bicuspidata,Twotoothed Cephalozia,Nonvascular Plant,
Cephalozia bicuspidata ssp. ambigua,Twotoothed Cephalozia,Nonvascular Plant,
Cephalozia bicuspidata ssp. lammersiana,Lammers' Cephalozia,Nonvascular Plant,
Cephalozia catenulata,Cephalozia,Nonvascular Plant,
Cephalozia connivens,Cephalozia,Nonvascular Plant,
Cephalozia lunulifolia,Cephalozia,Nonvascular Plant,
Cerastium arvense,"Field Chickweed, Field Mouse-Ear Chickweed, Starry Chickweed",Vascular Plant,
Cerastium brachypetalum,"Short-Petal Chickweed, Short-Petalled Chickweed",Vascular Plant,
Cerastium fontanum,"Common Chickweed, Common Mouse-Ear Chickweed, Mouse-Ear Chickweed",Vascular Plant,
Cerastium fontanum ssp. vulgare,"Common Mouse-Ear Chickweed, Big Chickweed, Common Mouse-Ear Chickweed",Vascular Plant,
Cerastium glomeratum,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed, Sticky Chickweed",Vascular Plant,
Cerastium nutans var. nutans,Nodding Chickweed,Vascular Plant,
Ceratodon purpureus,Ceratodon Moss,Nonvascular Plant,
Ceratophyllum demersum,"Common Hornwort, Coon's Tail, Coon's-Tail, Coontail, Hornwort",Vascular Plant,
Cercis canadensis,"Eastern Redbud, Redbud",Vascular Plant,
Cercis occidentalis,California Redbud,Vascular Plant,
Cercocarpus betuloides var. betuloides,Birch-Leaf Mountain-Mahogany,Vascular Plant,
Certhia americana,Brown Creeper,Bird,Species of Concern
Certhia familiaris,Eurasian Treecreeper,Bird,
Cervus elaphus,"Rocky Mountain Elk, Wapiti Or Elk",Mammal,
Ceryle alcyon,Belted Kingfisher,Bird,
Ceryle torquata,Ringed Kingfisher,Bird,
Chaenactis alpigena,"Sierra Pincushion, Southern Sierra Pincushion",Vascular Plant,
Chaenactis douglasii var. douglasii,"Douglas' Dustymaiden, Dusty-Maiden",Vascular Plant,
Chaenactis glabriuscula var. glabriuscula,Yellow Pincushion,Vascular Plant,
Chaenactis glabriuscula var. heterocarpha,Yellow Pincushion,Vascular Plant,
Chaenactis glabriuscula var. megacephala,Yellow Pincushion,Vascular Plant,
Chaenomeles speciosa,Flowering Quince,Vascular Plant,
Chaerophyllum procumbens,Spreading Chervil,Vascular Plant,
Chaerophyllum tainturieri var. tainturieri,Wild Chervil,Vascular Plant,
Chaetodipus californicus,California Pocket Mouse,Mammal,
Chaetura pelagica,Chimney Swift,Bird,
Chaetura vauxi,Vaux's Swift,Bird,Species of Concern
Chamaea fasciata,Wrentit,Bird,
Chamaebatia foliolosa,Mountain Misery,Vascular Plant,
Chamaebatiaria millefolium,"Desert Sweet, Fernbush",Vascular Plant,
Chamaecrista fasciculata,"Partridge-Pea, Prairie Senna",Vascular Plant,
Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",Vascular Plant,
Chamaecrista nictitans ssp. nictitans var. nictitans,Partridge Pea,Vascular Plant,
Chamaelirium luteum,"Devil's-Bit, Fairy Wand",Vascular Plant,
Chamaesyce glyptosperma,"Ribseed Sandmat, Rib-Seed Sandmat, Ridgeseed Spurge",Vascular Plant,
Chamaesyce maculata,"Large Spurge, Spotted Sandmat, Spotted Spurge",Vascular Plant,
Chamaesyce nutans,Eyebane,Vascular Plant,
Chamaesyce serpyllifolia,"Thymeleaf Sandmat, Thyme-Leaf Sandmat",Vascular Plant,
Chamaesyce serpyllifolia ssp. serpyllifolia,"Thymeleaf Sandmat, Thyme-Leaf Sandmat, Thymeleaf Spurge",Vascular Plant,
Chamerion latifolium,Dwarf Fireweed,Vascular Plant,
Chamomilla suaveolens,Pineappleweed,Vascular Plant,
Charadrius nivosus,Snowy Plover,Bird,
Charadrius semipalmatus,Semipalmated Plover,Bird,
Charadrius vociferus,Killdeer,Bird,
Charina bottae,"Northern Rubber Boa, Rubber Boa",Reptile,
Chasmanthium latifolium,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Vascular Plant,
Chasmanthium laxum,Slender Woodoats,Vascular Plant,
Chasmanthium laxum ssp. sessiliflorum,Sessil-Leaved Spanglegrass,Vascular Plant,
Chasmanthium laxum var. laxum,Nodding Spanglegrass,Vascular Plant,
Chasmanthium laxum var. sessiliflorum,Slender Woodoats,Vascular Plant,
Chasmanthium sessiliflorum,"Longleaf Spikegrass, Longleaf Woodoats",Vascular Plant,
Chasmistes liorus,June Sucker,Fish,Endangered
Cheilanthes alabamensis,Alabama Lip Fern,Vascular Plant,
Cheilanthes covillei,"Coville's Lip Fern, Coville's Lipfern",Vascular Plant,
Cheilanthes feei,"Fee's Lipfern, Slender Lip Fern, Slender Lipfern",Vascular Plant,
Cheilanthes gracillima,Lace Lipfern,Vascular Plant,
Cheilanthes intertexta,Coastal Lipfern,Vascular Plant,
Cheilanthes lanosa,"Hairy Lip Fern, Hairy Lipfern",Vascular Plant,
Cheilanthes tomentosa,"Woolly Lip Fern, Woolly Lipfern",Vascular Plant,
Chelone glabra,Turtlehead,Vascular Plant,
Chelone lyonii,Pink Turtlehead,Vascular Plant,
Chelone obliqua,"Lance-Leaved Turtlehead, Red Turtlehead",Vascular Plant,
Chelydra serpentina serpentina,Common Snapping Turtle,Reptile,
Chen caerulescens,"Snow Goose, Blue Goose, Snow Goose",Bird,
Chen rossii,"Ross' Goose, Ross's Goose",Bird,
Chenopodium album,"Common Lambsquarters, Lambsquarters, Lambsquarters Goosefoot, White Goosefoot",Vascular Plant,
Chenopodium album var. missouriense,Missouri Lambsquarters,Vascular Plant,
Chenopodium ambrosioides,"Fragrant Goosefoot, Wormseed Goosefoot",Vascular Plant,
Chenopodium atrovirens,"Dark Goosefoot, Pinyon Goosefoot",Vascular Plant,
Chenopodium botrys,"Jerusalem Oak, Jerusalem Oak Goosefoot, Jerusalem-Oak",Vascular Plant,
Chenopodium fremontii,Fremont's Goosefoot,Vascular Plant,
Chenopodium glaucum var. salinum,Rocky Mountain Goosefoot,Vascular Plant,
Chenopodium leptophyllum,"Narrowleaf Goosefoot, Narrowleaf Lambsquarters, Narrowleaved Goosefoot, Slimleaf Goosefoot, Slimleaf Lambsquarters",Vascular Plant,
Chenopodium multifidum,Cutleaf Goosefoot,Vascular Plant,
Chenopodium murale,"Nettle-Leaf Goosefoot, Pigweed",Vascular Plant,
Chenopodium pratericola,Desert Goosefoot,Vascular Plant,
Chenopodium pumilio,"Clammy Goosefoot, Ridged Goosefoot",Vascular Plant,
Chenopodium simplex,"Giant-Seed Goosefoot, Mapleleaf Goosefoot",Vascular Plant,
Chimaphila maculata,"Spotted Wintergreen, Striped Pipsissewa",Vascular Plant,
Chimaphila umbellata,"Pipsissewa, Prince's Pine",Vascular Plant,
Chionanthus virginicus,"Fringe Tree, Fringe-Tree",Vascular Plant,
Chlidonias niger,Black Tern,Bird,Species of Concern
Chlorogalum pomeridianum var. pomeridianum,Wavyleaf Soap Plant,Vascular Plant,
Choenomeles speciosa,Flowering Quince,Vascular Plant,
Chondestes grammacus,Lark Sparrow,Bird,
Chordeiles minor,Common Nighthawk,Bird,
Chorispora tenella,"Beanpodded Mustard, Blue Mustard, Bluemustard, Common Blue Mustard, Crossflower, Purple Mustard, Tenella Mustard",Vascular Plant,
Chorizanthe membranacea,Pink Spineflower,Vascular Plant,
Chrysanthemum leucanthemum,"Oxeye Daisy, Ox-Eye Daisy",Vascular Plant,
Chrysemys picta bellii,Western Painted Turtle,Reptile,
Chrysemys picta marginata,Midland Painted Turtle,Reptile,
Chrysemys picta picta,Eastern Painted Turtle,Reptile,
Chrysolepis sempervirens,"Bush Chinquapin, Sierra Chinkapin",Vascular Plant,
Chrysopsis mariana,Maryland Golden Aster,Vascular Plant,
Chrysosplenium americanum,"American Golden-Saxifrage, Golden Saxifrage",Vascular Plant,
Chrysothamnus viscidiflorus var. viscidiflorus,Yellow Rabbitbrush,Vascular Plant,
Cichorium intybus,"Chickory, Chicory, Blue Sailors, Chickory, Chicory, Coffeeweed, Common Chicory, French Endive, Succory",Vascular Plant,
Cicuta douglasii,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Vascular Plant,
Cicuta maculata,"Spotted Cowbane, Spotted Water-Hemlock",Vascular Plant,
Cicuta maculata var. angustifolia,"Common Water Hemlock, Poison Parsnip, Spotted Cowbane, Spotted Parsley, Spotted Water Hemlock, Spotted Water-Hemlock, Water Hemlock",Vascular Plant,
Cinclus mexicanus,American Dipper,Bird,
Cinna arundinacea,"Reedgrass, Stout Wood Reed-Grass",Vascular Plant,
Cinna bolanderi,Bolander's Woodreed,Vascular Plant,
Cinna latifolia,"Slender Wood Reedgrass, Woodreed, Drooping Woodreed, Slender Wood-Reed",Vascular Plant,
Circaea alpina,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",Vascular Plant,
Circaea alpina ssp. pacifica,"Small Enchanter Nightshade, Small Enchanter's Nightshade",Vascular Plant,
Circaea lutetiana ssp. canadensis,"Intermediate Enchanter's Nightshade, Larger Enchanter's-Nightshade",Vascular Plant,
Circus cyaneus,Northern Harrier,Bird,Species of Concern
Cirriphyllum piliferum,A Moss,Nonvascular Plant,
Cirsium,Thistle,Vascular Plant,
Cirsium altissimum,Tall Thistle,Vascular Plant,
Cirsium andersonii,"Anderson's Thistle, Rose Thistle",Vascular Plant,
Cirsium arvense,"Crepping Thistle, Canada Thistle, Canada Thistle",Vascular Plant,
Cirsium canovirens,Graygreen Thistle,Vascular Plant,
Cirsium carolinianum,Carolina Thistle,Vascular Plant,
Cirsium discolor,"Field Thistle, Thistle",Vascular Plant,
Cirsium douglasii var. breweri,Douglas' Thistle,Vascular Plant,
Cirsium eatonii,"Eaton's Thistle, Mountaintop Thistle",Vascular Plant,
Cirsium foliosum,"Drummond's Thistle, Elk Thistle, Leafy Thistle, Meadow Thistle",Vascular Plant,
Cirsium muticum,Swamp Thistle,Vascular Plant,
Cirsium occidentale var. californicum,Cobwebby Thistle,Vascular Plant,
Cirsium scariosum,"Evert's Thistle, Meadow Thistle",Vascular Plant,
Cirsium undulatum,"Gray Thistle, Wavyleaf Thistle, Wavy-Leaf Thistle",Vascular Plant,
Cirsium vulgare,"Bull Thistle, Common Thistle, Spear Thistle, Bull Thistle",Vascular Plant,
Cistanthe umbellata,"Mt. Hood Pussypaws, Umbellate Pussypaws",Vascular Plant,
Cistothorus palustris,Marsh Wren,Bird,
Cistothorus platensis,Sedge Wren,Bird,
Cladrastis kentukea,Yellowwood,Vascular Plant,
Clangula hyemalis,"Long-Tailed Duck, Oldsquaw",Bird,
Clarkia australis,Small's Southern Clarkia,Vascular Plant,
Clarkia biloba ssp. biloba,Twolobe Clarkia,Vascular Plant,
Clarkia dudleyana,Dudley's Clarkia,Vascular Plant,
Clarkia gracilis ssp. albicaulis,Whitestem Clarkia,Vascular Plant,
Clarkia heterandra,Mountain Clarkia,Vascular Plant,
Clarkia modesta,Waltham Creek Clarkia,Vascular Plant,
Clarkia purpurea ssp. quadrivulnera,"Winecup Clarkia, Winecup Fairyfan",Vascular Plant,
Clarkia purpurea ssp. viminea,Winecup Clarkia,Vascular Plant,
Clarkia rhomboidea,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Vascular Plant,
Clarkia unguiculata,Elegant Clarkia,Vascular Plant,
Clarkia williamsonii,Fort Miller Clarkia,Vascular Plant,
Clasmatodon parvulus,Clasmatodon Moss,Nonvascular Plant,
Claytonia caroliniana,"Carolina Spring-Beauty, Spring-Beauty",Vascular Plant,
Claytonia lanceolata,Lanceleaf Springbeauty,Vascular Plant,
Claytonia megarhiza,Alpine Springbeauty,Vascular Plant,
Claytonia megarhiza var. megarhiza,Alpine Springbeauty,Vascular Plant,
Claytonia nevadensis,Sierra Springbeauty,Vascular Plant,
Claytonia parviflora ssp. parviflora,Streambank Springbeauty,Vascular Plant,
Claytonia perfoliata ssp. perfoliata,Miner's Lettuce,Vascular Plant,
Claytonia rubra ssp. rubra,Redstem Springbeauty,Vascular Plant,
Claytonia virginica,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",Vascular Plant,
Claytonia virginica var. acutiflora,Virginia Springbeauty,Vascular Plant,
Cleistes bifaria,Cleistes,Vascular Plant,
Cleistes divaricata,Spreading Pogonia,Vascular Plant,
Clematis dioica,Cabellos De Angel,Vascular Plant,
Clematis glaucophylla,Waxy-Leaved Clematis,Vascular Plant,
Clematis hirsutissima var. hirsutissima,Hairy Clematis,Vascular Plant,
Clematis lasiantha,Pipestem Clematis,Vascular Plant,
Clematis ligusticifolia,"Hierba De Chivo, Old-Man's-Beard, Virgins Bower, Virginsbower, Virgin's-Bower, Western White Clematis",Vascular Plant,
Clematis occidentalis var. grosseserrata,Western Blue Virginsbower,Vascular Plant,
Clematis ochroleuca,Curlyheads,Vascular Plant,
Clematis terniflora,Clematis,Vascular Plant,
Clematis viorna,"Leatherflower, Vase-Vine Leather-Flower",Vascular Plant,
Clematis virginiana,"Virginia Virgin-Bower, Virgin's Bower",Vascular Plant,
Clemmys muhlenbergii,Bog Turtle,Reptile,
Cleome hassleriana,Spider Flower,Vascular Plant,
Cleome serrulata,"Bee Spiderflower, Rocky Mountain Beeplant",Vascular Plant,
Clethra acuminata,Mountain Pepper-Bush,Vascular Plant,
Clethrionomys gapperi,Southern Red-Backed Vole,Mammal,
Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Mammal,
Climacium americanum,American Climacium Moss,Nonvascular Plant,
Climacium kindbergii,Kindberg's Climacium Moss,Nonvascular Plant,
Clinopodium vulgare,Basil,Vascular Plant,
Clinostomus funduloides,Rosyside Dace,Fish,
Clinostomus sp. 1,Smoky Dace,Fish,
Clintonia borealis,"Bluebead Lily, Clinton Lily",Vascular Plant,
Clintonia umbellulata,"Speckled Wood Lily, White Clintonia",Vascular Plant,
Clintonia uniflora,Bride's Bonnet,Vascular Plant,
Clitoria mariana,"Butterfly-Pea, Maryland Butterfly-Pea",Vascular Plant,
Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,Reptile,
Cnicus benedictus,"Blessed Thistle, Blessed-Thistle",Vascular Plant,
Coccothraustes vespertinus,Evening Grosbeak,Bird,
Cocculus carolinus,"Red-Berried Moonseed, Snailseed, Coralbead",Vascular Plant,
Coccyzus americanus,Yellow-Billed Cuckoo,Bird,
Coccyzus erythropthalmus,Black-Billed Cuckoo,Bird,Species of Concern
Coeloglossum viride var. virescens,"Longbract Frog Orchid, Long-Bract Green Orchis",Vascular Plant,
Colaptes auratus,Northern Flicker,Bird,
Colinus virginianus,Northern Bobwhite,Bird,
Collinsia bartsiifolia var. davidsonii,Davidson's Blue Eyed Mary,Vascular Plant,
Collinsia childii,Child's Blue Eyed Mary,Vascular Plant,
Collinsia heterophylla,Purple Chinese Houses,Vascular Plant,
Collinsia linearis,Narrowleaf Blue Eyed Mary,Vascular Plant,
Collinsia parviflora,"Blue-Eyed Mary, Littleflower Collinsia, Maiden Blue Eyed Mary, Smallflower Blue Eyed Mary, Small-Flower Blue-Eyed Mary",Vascular Plant,
Collinsia tinctoria,Sticky Chinese Houses,Vascular Plant,
Collinsia torreyi var. torreyi,"Torrey's Blue Eyed Mary, Torrey's Blue-Eyed Mary",Vascular Plant,
Collinsia torreyi var. wrightii,Wright's Blue Eyed Mary,Vascular Plant,
Collinsonia canadensis,"Canada Horse-Balm, Stoneroot",Vascular Plant,
Collinsonia verticillata,Whorled Horsebalm,Vascular Plant,
Collomia grandiflora,"Grand Collomia, Largeflowered Collomia",Vascular Plant,
Collomia heterophylla,Variableleaf Collomia,Vascular Plant,
Collomia linearis,"Narrowleaf Mountaintrumpet, Narrow-Leaf Mountain-Trumpet, Slenderleaf Collomia, Tiny Trumpet",Vascular Plant,
Collomia tinctoria,"Staining Collomia, Yellowstain Collomia",Vascular Plant,
Coluber constrictor,Racer,Reptile,
Coluber constrictor constrictor,Northern Black Racer,Reptile,
Coluber mormon,Western Yellow-Bellied Racer,Reptile,
Columba livia,"Rock Dove, Common Pigeon, Rock Dove, Rock Pigeon, Rock Pigeon",Bird,
Comandra umbellata,Bastard Toadflax,Vascular Plant,
Comandra umbellata ssp. californica,"Bastard Toadflax, California Bastard Toadflax",Vascular Plant,
Commelina communis,"Asiatic Dayflower, Common Dayflower",Vascular Plant,
Commelina diffusa,Dayflower,Vascular Plant,
Commelina erecta,"Erect Dayflower, Slender Dayflower",Vascular Plant,
Commelina virginica,"Virginia Dayflower, Virginia Day-Flower",Vascular Plant,
Comptonia peregrina,Sweet Fern,Vascular Plant,
Condylura cristata,Star-Nosed Mole,Mammal,
Conimitella williamsii,Williams' Miterwort,Vascular Plant,
Conium maculatum,"Poison Hemlock, Cigue Maculee, Cigue Tachetee, Deadly Hemlock, Poison Hemlock, Poison Parsley, Poison-Hemlock",Vascular Plant,
Conoclinium coelestinum,Blue Mistflower,Vascular Plant,
Conopholis americana,"Squawroot, Squaw-Root",Vascular Plant,
Conringia orientalis,"Hare's Ear Mustard, Hare's-Ear Mustard",Vascular Plant,
Consolida ajacis,Garden Larkspur,Vascular Plant,
Contia tenuis,Sharp-Tailed Snake,Reptile,
Contopus borealis,Olive-Sided Flycatcher,Bird,
Contopus cooperi,Olive-Sided Flycatcher,Bird,Species of Concern
Contopus sordidulus,"Western Wood-Pewee, Western Wood Pewee, Western Wood-Pewee",Bird,
Contopus virens,Eastern Wood-Pewee,Bird,
Convallaria majalis,"European Lily-Of-The-Valley, Lily-Of-The-Valley",Vascular Plant,
Convallaria majuscula,Convallaria,Vascular Plant,
Convallaria montana,"American Lily-Of-The-Valley, Wild Lily-Of-The-Valley",Vascular Plant,
Convolvulus arvensis,"Creeping Jenny, European Bindweed, Field Bindweed, Perennial Morningglory, Smallflowered Morningglory",Vascular Plant,
Conyza canadensis,"Horse-Weed, Canada Horseweed, Canadian Horseweed, Horseweed, Horseweed Fleabane, Mares Tail, Marestail",Vascular Plant,
Coragyps atratus,Black Vulture,Bird,
Corallorhiza maculata,"Spotted Coralroot, Summer Coralroot",Vascular Plant,
Corallorhiza odontorhiza,Autumn Coral-Root,Vascular Plant,
Corallorhiza wisteriana,"Coral Root, Spring Coralroot",Vascular Plant,
Corallorrhiza maculata,"Spotted Coralroot, Summer Coralroot",Vascular Plant,
Corallorrhiza mertensiana,Pacific Coralroot,Vascular Plant,
Corallorrhiza odontorhiza,Autumn Coral-Root,Vascular Plant,
Corallorrhiza striata,"Hooded Coralroot, Striped Coralroot",Vascular Plant,
Corallorrhiza trifida,"Early Coralroot, Yellow Coralroot",Vascular Plant,
Corallorrhiza wisteriana,"Coralroot, Spring Coralroot, Spring Coralroot",Vascular Plant,
Cordylanthus rigidus ssp. brevibracteatus,Stiffbranch Bird's Beak,Vascular Plant,
Cordylanthus rigidus ssp. rigidus,Stiffbranch Bird's Beak,Vascular Plant,
Cordylanthus tenuis ssp. tenuis,"Slender Bird's Beak, Slender Bird'sbeak",Vascular Plant,
Coreopsis auriculata,"Auricled Tickseed, Lobed Tickseed",Vascular Plant,
Coreopsis lanceolata,"Garden Coreopsis, Lanceleaf Tickseed",Vascular Plant,
Coreopsis major,Wood Tickseed,Vascular Plant,
Coreopsis pubescens,"Hairy Tickseed, Star Tickseed",Vascular Plant,
Coreopsis tinctoria,"Coreopsis, Golden Tickseed",Vascular Plant,
Coreopsis tripteris,Tall Tickseed,Vascular Plant,
Cornus alternifolia,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Vascular Plant,
Cornus amomum,Silky Dogwood,Vascular Plant,
Cornus canadensis,"Bunchberry Dogwood, Canadian Bunchberry",Vascular Plant,
Cornus florida,Flowering Dogwood,Vascular Plant,
Cornus foemina,"Stiff Dogwood, Swamp Dogwood",Vascular Plant,
Cornus nuttallii,Pacific Dogwood,Vascular Plant,
Cornus sericea,"Redosier, Redosier Dogwood",Vascular Plant,
Cornus sericea ssp. occidentalis,Western Dogwood,Vascular Plant,
Cornus sericea ssp. sericea,"Redosier Dogwood, Siberian Dogwood, Tatarian Dogwood",Vascular Plant,
Coronilla varia,"Common Crown-Vetch, Crown-Vetch",Vascular Plant,
Corvus brachyrhynchos,American Crow,Bird,
Corvus corax,Common Raven,Bird,
Corydalis aurea,"Golden Corydalis, Scrambled Eggs",Vascular Plant,
Corydalis aurea var. aurea,Golden Corydalis,Vascular Plant,
Corydalis flavula,"Corydalis, Golden Corydalis",Vascular Plant,
Corydalis micrantha ssp. australis,Smallflower Fumewort,Vascular Plant,
Corydalis sempervirens,Pale Corydalis,Vascular Plant,
Corylus americana,"American Hazel, American Hazelnut",Vascular Plant,
Corylus cornuta,"Beaked Hazel, Beaked Hazelnut",Vascular Plant,
Corylus cornuta var. californica,"California Hazel, California Hazelnut",Vascular Plant,
